,year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity
0,2000,,,368.08,,72.77
1,2001,,,396.6,,76.55
2,2002,,,423.11,,75.86
3,2003,,,447.7,,75.53
4,2004,,,485.55,,76.92
5,2005,,,511.05,,78.16
6,2006,,,535.42,,85.26
7,2007,,,564.3,,89.79
8,2008,,,590.38,,98.57
9,2009,,,611.38,,103.22
10,2010,,,672.58,,110.91
11,2011,,,707.38,,133.49
12,2012,,,761.41,,151.09
13,2013,,,805.54,,164.43
14,2014,,,849.74,,170.83
15,2015,,,888.29,,166.28
16,2016,,,959.66,,193.83
17,2017,,,1005.46,,237.43
18,2018,,,1064.03,,252.31
19,2019,,,1117.14,,236.04
20,2020,,,1105.12,,262.67
21,2021,,,1153.07,,289.43
22,2022,,,1217.05,,336.62
23,1900,4707744.0,,,,
24,1901,4751177.0,,,,
25,1902,4802500.0,,,,
26,1903,4861833.0,,,,
27,1904,4921891.0,,,,
28,1905,4982681.0,,,,
29,1906,5044212.0,,,,
30,1907,5106495.0,,,,
31,1908,5169536.0,,,,
32,1909,5300178.0,,,,
33,1910,5504191.0,,,,
34,1911,5787792.0,,,,
35,1912,6157669.0,,,,
36,1913,6621025.0,,,,
37,1914,7119235.0,,,,
38,1915,7654918.0,,,,
39,1916,8230894.0,,,,
40,1917,8850190.0,,,,
41,1918,9529174.0,,,,
42,1919,9976355.0,,,,
43,1920,10188845.0,,,,
44,1921,10162753.0,,,,
45,1922,9893152.0,,,,
46,1923,9374030.0,,,,
47,1924,8882148.0,,,,
48,1925,8416077.0,,,,
49,1926,7974462.0,,,,
50,1927,7556019.0,,,,
51,1928,7159534.0,,,,
52,1929,6851115.0,,,,
53,1930,6626142.0,,,,
54,1931,6480237.0,,,,
55,1932,6409250.0,,,,
56,1933,6409250.0,,,,
57,1934,6409250.0,,,,
58,1935,6409250.0,,,,
59,1936,6409250.0,,,,
60,1937,6409250.0,,,,
61,1938,6409250.0,,,,
62,1939,6428903.0,,,,
63,1940,6468510.0,,,,
64,1941,6528377.0,,,,
65,1942,6608815.0,,,,
66,1943,6710138.0,,,,
67,1944,6813016.0,,,,
68,1945,6917471.0,,,,
69,1946,7023527.0,,,,
70,1947,7131209.0,,,,
71,1948,7240542.0,,,,
72,1949,7356890.0,,,,
73,1950,7480464.0,9421400064.0,,,
74,1951,7571542.0,9692279808.0,,,
75,1952,7667534.0,10017325056.0,,,
76,1953,7764549.0,10630519808.0,,,
77,1954,7864289.0,10866360320.0,,,
78,1955,7971933.0,11078185984.0,,,
79,1956,8087730.0,11581236224.0,,,
80,1957,8210207.0,11578973184.0,,,
81,1958,8333827.0,12238841856.0,,,
82,1959,8468220.0,12579874816.0,,,
83,1960,8622473.0,13033253888.0,,,
84,1961,8790140.0,13146287104.0,,,
85,1962,8969055.0,13367633920.0,,,
86,1963,9157463.0,13630298112.0,,,
87,1964,9355510.0,13870503936.0,,,
88,1965,9565154.0,14187419648.0,,,
89,1966,9783153.0,14325264384.0,,,
90,1967,10010037.0,14734025728.0,,,
91,1968,10247782.0,15254250496.0,,,
92,1969,10494491.0,15493193728.0,,,
93,1970,10752973.0,15812232192.0,,,
94,1971,11015853.0,15770513408.0,,,
95,1972,11286753.0,13170552832.0,,,
96,1973,11575308.0,13568630784.0,,,
97,1974,11869881.0,14309107712.0,,,
98,1975,12157390.0,15177767936.0,,,
99,1976,12425276.0,16023605248.0,,,
100,1977,12687308.0,15207360512.0,,,
101,1978,12938864.0,16337829888.0,,,
102,1979,12986378.0,15913788416.0,,,
103,1980,12486640.0,15329836032.0,,7.791,
104,1981,11155196.0,15645343744.0,,8.777,
105,1982,10088290.0,15980409856.0,,9.348,
106,1983,9951447.0,16755333120.0,,11.436,
107,1984,10243689.0,17072152576.0,,11.489,
108,1985,10512220.0,17108480000.0,,11.217,
109,1986,10448447.0,17641345024.0,,11.462,
110,1987,10322767.0,15810816000.0,,18.483,
111,1988,10383459.0,14499068928.0,,32.596,
112,1989,10673172.0,13489497088.0,,32.052,
113,1990,10694804.0,13065984000.0,,31.746,
114,1991,10745168.0,12047362048.0,,13.903,
115,1992,12057436.0,12677538816.0,,9.168,
116,1993,14003764.0,9834580992.0,,9.105,
117,1994,15455560.0,7919857152.0,,8.816,
118,1995,16418911.0,12307525632.0,,7.429,
119,1996,17106600.0,12070125568.0,,7.286,
120,1997,17788818.0,11850752000.0,,6.938,
121,1998,18493134.0,11692172288.0,,6.752,
122,1999,19262854.0,11517317120.0,,6.749,
123,2000,19542986.0,11283792896.0,0.47,5.914,0.31
124,2001,19688634.0,11021273088.0,0.59,4.664,0.5
125,2002,21000258.0,18804871168.0,0.69,4.428,0.56
126,2003,22645136.0,21074343936.0,0.94,5.208,0.63
127,2004,23553554.0,22332571648.0,0.89,4.81,0.56
128,2005,24411196.0,25397688320.0,0.93,6.153,0.59
129,2006,25442946.0,28704401408.0,0.84,7.745,0.64
130,2007,25903306.0,34507530240.0,0.95,9.177,0.75
131,2008,26427204.0,36561043456.0,0.73,16.063,0.54
132,2009,27385310.0,44358721536.0,0.94,26.702,0.78
133,2010,28189672.0,47399424000.0,0.94,33.345,0.75
134,2011,29249156.0,53326336000.0,0.78,42.005,0.6
135,2012,30466484.0,59166900224.0,0.88,40.341,0.74
136,2013,31541216.0,62993698816.0,1.11,33.459,0.89
137,2014,32716214.0,64346107904.0,1.16,28.417,1.0
138,2015,33753500.0,62783393792.0,1.18,32.744,1.03
139,2016,34636212.0,64297426944.0,1.21,29.884,1.06
140,2017,35643420.0,68752801792.0,1.27,29.56,1.09
141,2018,36686788.0,67594969088.0,1.17,33.908,0.97
142,2019,37769496.0,,1.07,30.314,0.89
143,2020,38972236.0,,0.8,27.393,0.68
144,2021,40099460.0,,0.83,27.135,0.7
145,1900,138752199.0,,,,
146,1901,139021447.0,,,,
147,1902,139489077.0,,,,
148,1903,139992790.0,,,,
149,1904,140510536.0,,,,
150,1905,141042447.0,,,,
151,1906,141588654.0,,,,
152,1907,142149308.0,,,,
153,1908,142724535.0,,,,
154,1909,143305202.0,,,,
155,1910,144064903.0,,,,
156,1911,144480832.0,,,,
157,1912,145067004.0,,,,
158,1913,145657208.0,,,,
159,1914,146256012.0,,,,
160,1915,146863516.0,,,,
161,1916,147479796.0,,,,
162,1917,148104957.0,,,,
163,1918,148713464.0,,,,
164,1919,149572638.0,,,,
165,1920,150861520.0,,,,
166,1921,152062212.0,,,,
167,1922,153693154.0,,,,
168,1923,155594335.0,,,,
169,1924,157523780.0,,,,
170,1925,159481926.0,,,,
171,1926,161469210.0,,,,
172,1927,163486087.0,,,,
173,1928,165533025.0,,,,
174,1929,167612506.0,,,,
175,1930,169924067.0,,,,
176,1931,171875191.0,,,,
177,1932,174050964.0,,,,
178,1933,176265430.0,,,,
179,1934,178512860.0,,,,
180,1935,180793768.0,,,,
181,1936,183108678.0,,,,
182,1937,185458104.0,,,,
183,1938,187842584.0,,,,
184,1939,190381812.0,,,,
185,1940,193306256.0,,,,
186,1941,195943401.0,,,,
187,1942,198975492.0,,,,
188,1943,202181814.0,,,,
189,1944,205448384.0,,,,
190,1945,208776384.0,,,,
191,1946,212172008.0,,,,
192,1947,215621479.0,,,,
193,1948,219141050.0,,,,
194,1949,223001287.0,,,,
195,1950,227549730.0,,,,
196,1951,232484439.0,,,,
197,1952,237586485.0,,,,
198,1953,242837870.0,,,,
199,1954,248245229.0,,,,
200,1955,253848117.0,,,,
201,1956,259631766.0,,,,
202,1957,265515596.0,,,,
203,1958,271429963.0,,,,
204,1959,277648583.0,,,,
205,1960,284288223.0,,,,
206,1961,291177974.0,,,,
207,1962,298334455.0,,,,
208,1963,305755585.0,,,,
209,1964,313466087.0,,,,
210,1965,321447378.0,,,716.321,
211,1966,329658389.0,,,750.133,
212,1967,338159967.0,,,757.934,
213,1968,346980412.0,,,800.596,
214,1969,356070643.0,,,822.668,
215,1970,365450443.0,,,893.035,
216,1971,375086296.0,,,953.168,26.177
217,1972,384930776.0,,,1007.763,29.798
218,1973,395212420.0,,,1091.498,31.516
219,1974,406069208.0,,,1145.929,35.842
220,1975,417556976.0,,,1214.47,37.89
221,1976,429573262.0,,,1318.827,41.983
222,1977,441701768.0,,,1391.542,46.118
223,1978,454463053.0,,,1445.103,46.502
224,1979,467976240.0,,,1574.47,49.766
225,1980,481543145.0,,,1692.144,48.519
226,1981,495655683.0,,,1898.898,50.411
227,1982,510540596.0,,,2023.654,50.442
228,1983,525335348.0,,,2083.755,45.477
229,1984,540183119.0,,,2148.277,44.724
230,1985,555652995.0,,258.986,2235.495,49.719
231,1986,571646786.0,,270.11,2281.272,51.804
232,1987,588080029.0,,280.26,2354.796,49.714
233,1988,604511530.0,,295.296,2520.53,54.219
234,1989,621167964.0,,306.648,2524.404,56.893
235,1990,638157571.0,,318.776,2607.795,58.06
236,1991,655040869.0,,324.848,2604.879,61.473
237,1992,671931834.0,,327.871,2644.118,58.714
238,1993,689140286.0,,339.074,2651.378,57.634
239,1994,706488557.0,,351.334,2740.697,58.448
240,1995,724331972.0,,362.711,2851.555,60.804
241,1996,742765067.0,,382.159,2924.229,63.591
242,1997,761224818.0,,400.899,2986.172,65.256
243,1998,779908311.0,,406.459,3032.402,68.387
244,1999,799099611.0,,418.592,3125.31,72.414
245,2000,818952374.0,,420.55,3195.78,77.29
246,2001,839464127.0,,437.26,3309.953,84.24
247,2002,860611762.0,,462.3,3352.77,86.34
248,2003,882349569.0,,485.23,3514.813,85.02
249,2004,904781595.0,,515.24,3774.125,90.52
250,2005,927898412.0,,535.68,3785.367,93.32
251,2006,951740562.0,,557.88,3858.666,96.36
252,2007,976461747.0,,583.3,4005.508,98.62
253,2008,1001981577.0,,592.75,4245.228,100.68
254,2009,1028200528.0,,595.5,4316.649,104.72
255,2010,1055233717.0,,663.15,4450.751,116.87
256,2011,1082676070.0,,669.79,4486.32,118.22
257,2012,1110797495.0,,695.39,4665.49,118.47
258,2013,1140180888.0,,712.92,4796.092,125.47
259,2014,1170299297.0,,738.8,4927.997,135.78
260,2015,1201108186.0,,761.08,5049.609,139.58
261,2016,1232111820.0,,769.03,5182.204,142.17
262,2017,1263333997.0,,799.11,5315.877,151.76
263,2018,1295265310.0,,815.04,5433.933,165.96
264,2019,1327701380.0,,827.54,5559.957,176.57
265,2020,1360677453.0,,807.52,5266.976,182.64
266,2021,1393676724.0,,839.35,5612.5,191.75
267,2022,1426736614.0,,892.734,5626.826,207.484
268,1965,,,,716.321,
269,1966,,,,750.133,
270,1967,,,,757.935,
271,1968,,,,800.596,
272,1969,,,,822.668,
273,1970,,,,893.035,
274,1971,,,,953.168,26.177
275,1972,,,,1007.763,29.798
276,1973,,,,1091.498,31.516
277,1974,,,,1145.929,35.842
278,1975,,,,1214.471,37.89
279,1976,,,,1318.826,41.983
280,1977,,,,1391.542,46.118
281,1978,,,,1445.103,46.502
282,1979,,,,1574.47,49.766
283,1980,,,,1692.144,48.519
284,1981,,,,1898.898,50.411
285,1982,,,,2023.654,50.442
286,1983,,,,2083.755,45.477
287,1984,,,,2148.277,44.724
288,1985,,,258.986,2235.495,49.719
289,1986,,,270.11,2281.272,51.804
290,1987,,,280.26,2354.796,49.714
291,1988,,,295.296,2520.53,54.219
292,1989,,,306.648,2524.405,56.893
293,1990,,,318.776,2607.795,58.06
294,1991,,,324.848,2604.879,61.473
295,1992,,,327.871,2644.118,58.714
296,1993,,,339.074,2651.378,57.634
297,1994,,,351.334,2740.697,58.448
298,1995,,,362.711,2851.555,60.804
299,1996,,,382.159,2924.229,63.591
300,1997,,,400.899,2986.172,65.256
301,1998,,,406.459,3032.402,68.387
302,1999,,,418.592,3125.31,72.414
303,2000,,,440.192,3195.78,77.757
304,2001,,,459.122,3309.953,83.686
305,2002,,,487.595,3352.771,87.829
306,2003,,,509.054,3514.814,85.816
307,2004,,,540.783,3774.125,91.059
308,2005,,,560.426,3785.367,92.731
309,2006,,,586.15,3858.666,96.791
310,2007,,,610.692,4005.508,99.485
311,2008,,,623.538,4245.228,101.699
312,2009,,,630.107,4316.649,104.894
313,2010,,,672.699,4450.751,114.023
314,2011,,,688.602,4486.32,117.756
315,2012,,,722.611,4665.49,118.907
316,2013,,,745.502,4796.092,126.461
317,2014,,,770.06,4927.998,136.711
318,2015,,,789.988,5049.609,140.01
319,2016,,,799.558,5182.204,140.59
320,2017,,,826.26,5315.877,153.615
321,2018,,,849.155,5433.932,165.294
322,2019,,,867.271,5559.957,177.246
323,2020,,,852.274,5266.976,190.359
324,2021,,,896.922,5612.5,201.152
325,2022,,,892.734,5626.826,207.484
326,1980,,,,1946.264,
327,1981,,,,1998.814,
328,1982,,,,2167.387,
329,1983,,,,2288.054,
330,1984,,,,2402.631,
331,1985,,,,2466.385,
332,1986,,,,2511.873,
333,1987,,,,2602.436,
334,1988,,,,2697.355,
335,1989,,,,2757.169,
336,1990,,,,2843.93,
337,1991,,,,2898.07,
338,1992,,,,2919.853,
339,1993,,,,2945.379,
340,1994,,,,3011.26,
341,1995,,,,3145.98,
342,1996,,,,3250.327,
343,1997,,,,3326.657,
344,1998,,,,3383.567,
345,1999,,,,3398.346,
346,2000,,,,3539.406,
347,2001,,,,3670.425,
348,2002,,,,3784.599,
349,2003,,,,3937.834,
350,2004,,,,4065.275,
351,2005,,,,4290.539,
352,2006,,,,4371.761,
353,2007,,,,4527.218,
354,2008,,,,4727.976,
355,2009,,,,4727.059,
356,2010,,,,4954.607,
357,2011,,,,5083.864,
358,2012,,,,5292.802,
359,2013,,,,5464.019,
360,2014,,,,5644.543,
361,2015,,,,5634.305,
362,2016,,,,5674.271,
363,2017,,,,5853.867,
364,2018,,,,5951.019,
365,2019,,,,6119.822,
366,2020,,,,5818.306,
367,2021,,,,5934.747,
368,2000,,,420.55,,77.29
369,2001,,,437.26,,84.24
370,2002,,,462.3,,86.34
371,2003,,,485.23,,85.02
372,2004,,,515.24,,90.52
373,2005,,,535.68,,93.32
374,2006,,,557.88,,96.36
375,2007,,,583.3,,98.62
376,2008,,,592.75,,100.68
377,2009,,,595.5,,104.72
378,2010,,,663.15,,116.87
379,2011,,,669.79,,118.22
380,2012,,,695.39,,118.47
381,2013,,,712.92,,125.47
382,2014,,,738.8,,135.78
383,2015,,,761.08,,139.58
384,2016,,,769.03,,142.17
385,2017,,,799.11,,151.76
386,2018,,,815.04,,165.96
387,2019,,,827.54,,176.57
388,2020,,,807.52,,182.64
389,2021,,,839.35,,191.75
390,1900,,,,,
391,1901,,,,,
392,1902,,,,,
393,1903,,,,,
394,1904,,,,,
395,1905,,,,,
396,1906,,,,,
397,1907,,,,,
398,1908,,,,,
399,1909,,,,,
400,1910,,,,,
401,1911,,,,,
402,1912,,,,,
403,1913,,,,,
404,1914,,,,,
405,1915,,,,,
406,1916,,,,,
407,1917,,,,,
408,1918,,,,,
409,1919,,,,,
410,1920,,,,,
411,1921,,,,,
412,1922,,,,,
413,1923,,,,,
414,1924,,,,,
415,1925,,,,,
416,1926,,,,,
417,1927,,,,,
418,1928,,,,,
419,1929,,,,,
420,1930,,,,,
421,1931,,,,,
422,1932,,,,,
423,1933,,,,,
424,1934,,,,,
425,1935,,,,,
426,1936,,,,,
427,1937,,,,,
428,1938,,,,,
429,1939,,,,,
430,1940,,,,,
431,1941,,,,,
432,1942,,,,,
433,1943,,,,,
434,1944,,,,,
435,1945,,,,,
436,1946,,,,,
437,1947,,,,,
438,1948,,,,,
439,1949,,,,,
440,1950,,,,,
441,1951,,,,,
442,1952,,,,,
443,1953,,,,,
444,1954,,,,,
445,1955,,,,,
446,1956,,,,,
447,1957,,,,,
448,1958,,,,,
449,1959,,,,,
450,1960,,,,,
451,1961,,,,,
452,1962,,,,,
453,1963,,,,,
454,1964,,,,,
455,1965,,,,,
456,1966,,,,,
457,1967,,,,,
458,1968,,,,,
459,1969,,,,,
460,1970,,,,,
461,1971,,,,,
462,1972,,,,,
463,1973,,,,,
464,1974,,,,,
465,1975,,,,,
466,1976,,,,,
467,1977,,,,,
468,1978,,,,,
469,1979,,,,,
470,1980,,,,,
471,1981,,,,,
472,1982,,,,,
473,1983,,,,,
474,1984,,,,,
475,1985,,,,,
476,1986,,,,,
477,1987,,,,,
478,1988,,,,,
479,1989,,,,,
480,1990,,,,,
481,1991,,,,,
482,1992,,,,,
483,1993,,,,,
484,1994,,,,,
485,1995,,,,,
486,1996,,,,,
487,1997,,,,,
488,1998,,,,,
489,1999,,,,,
490,2000,,,,,
491,2001,,,,,
492,2002,,,,,
493,2003,,,,,
494,2004,,,,,
495,2005,,,,,
496,2006,,,,,
497,2007,,,,,
498,2008,,,,,
499,2009,,,,,
500,2010,,,,,
501,2011,,,,,
502,2012,,,,,
503,2013,,,,,
504,2014,,,,,
505,2015,,,,,
506,2016,,,,,
507,1900,805974.0,873600000.0,,,
508,1901,813539.0,,,,
509,1902,821036.0,,,,
510,1903,828461.0,,,,
511,1904,835954.0,,,,
512,1905,843514.0,,,,
513,1906,851143.0,,,,
514,1907,858841.0,,,,
515,1908,866609.0,,,,
516,1909,874016.0,,,,
517,1910,881057.0,1086381952.0,,,
518,1911,887724.0,,,,
519,1912,894013.0,,,,
520,1913,899917.0,1161113984.0,,,
521,1914,905859.0,,,,
522,1915,911841.0,,,,
523,1916,917862.0,,,,
524,1917,923923.0,,,,
525,1918,929879.0,,,,
526,1919,935646.0,,,,
527,1920,941221.0,,,,
528,1921,946603.0,,,,
529,1922,951788.0,,,,
530,1923,956775.0,,,,
531,1924,961788.0,,,,
532,1925,966828.0,,,,
533,1926,971893.0,,,,
534,1927,976986.0,,,,
535,1928,982104.0,,,,
536,1929,988255.0,1442051968.0,,,
537,1930,995454.0,,,,
538,1931,1003716.0,,,,
539,1932,1013057.0,,,,
540,1933,1023495.0,,,,
541,1934,1034040.0,,,,
542,1935,1044694.0,,,,
543,1936,1055458.0,,,,
544,1937,1066333.0,,,,
545,1938,1077319.0,,,,
546,1939,1088816.0,,,,
547,1940,1100833.0,,,,
548,1941,1113381.0,,,,
549,1942,1126469.0,,,,
550,1943,1140109.0,,,,
551,1944,1153914.0,,,,
552,1945,1167887.0,,,,
553,1946,1182028.0,,,,
554,1947,1196341.0,,,,
555,1948,1210827.0,,,,
556,1949,1229519.0,,,,
557,1950,1252587.0,1958540928.0,,,
558,1951,1289175.0,2089362304.0,,,
559,1952,1326957.0,2138255872.0,,,
560,1953,1366747.0,2282159616.0,,,
561,1954,1409011.0,2415072768.0,,,
562,1955,1453732.0,2620052736.0,,,
563,1956,1500625.0,2728373248.0,,,
564,1957,1549575.0,2986969600.0,,,
565,1958,1600986.0,3216275456.0,,,
566,1959,1655022.0,3458495232.0,,,
567,1960,1711189.0,3754262784.0,,,
568,1961,1769076.0,3909912832.0,,,
569,1962,1828234.0,4163081984.0,,,
570,1963,1888302.0,4433270272.0,,,
571,1964,1949020.0,4719963648.0,,,
572,1965,2009793.0,5029350912.0,,,
573,1966,2070694.0,5354307584.0,,,
574,1967,2132447.0,5706156544.0,,,
575,1968,2195474.0,6073281536.0,,,
576,1969,2259797.0,6468810240.0,,,
577,1970,2324733.0,6888218624.0,,,
578,1971,2389820.0,7337364480.0,,,
579,1972,2455181.0,7811524608.0,,,
580,1973,2520442.0,8317288448.0,,,
581,1974,2585457.0,8539399680.0,,,
582,1975,2650128.0,8761643008.0,,,
583,1976,2713564.0,8996929536.0,,,
584,1977,2774798.0,9235805184.0,,,
585,1978,2833317.0,9474237440.0,,,
586,1979,2888764.0,9727295488.0,,,
587,1980,2941650.0,9993752576.0,,47.765,
588,1981,2992391.0,10248711168.0,,47.491,
589,1982,3041188.0,10517106688.0,,47.725,
590,1983,3087904.0,10795983872.0,,49.627,
591,1984,3131731.0,11080088576.0,,49.941,
592,1985,3171727.0,11371456512.0,,49.839,
593,1986,3207129.0,11669744640.0,,48.672,
594,1987,3237677.0,11975300096.0,,48.838,
595,1988,3263019.0,12296424448.0,,49.409,
596,1989,3282187.0,12617018368.0,,46.991,
597,1990,3295073.0,12947849216.0,3.3,33.658,2.85
598,1991,3302087.0,9375844352.0,3.82,28.23,3.52
599,1992,3303738.0,8745680896.0,3.4,24.674,3.23
600,1993,3300715.0,9636359168.0,3.53,21.638,3.31
601,1994,3294001.0,10596127744.0,3.94,20.567,3.77
602,1995,3284370.0,11600734208.0,4.47,22.728,4.2
603,1996,3271336.0,12727380992.0,5.99,25.011,5.73
604,1997,3253721.0,11396507648.0,5.23,22.844,5.03
605,1998,3232185.0,12466707456.0,5.11,24.572,4.92
606,1999,3208265.0,14151858176.0,5.42,22.114,5.28
607,2000,3182027.0,15214264320.0,4.69,28.732,4.55
608,2001,3153615.0,16563844096.0,3.65,27.233,3.52
609,2002,3123554.0,17408065536.0,3.64,29.497,3.48
610,2003,3092993.0,18465497088.0,5.22,33.27,5.12
611,2004,3062629.0,19587880960.0,5.54,35.487,5.41
612,2005,3032636.0,20781076480.0,5.39,35.014,5.32
613,2006,3003391.0,22124285952.0,5.04,32.967,4.95
614,2007,2976089.0,23574646784.0,2.83,28.377,2.76
615,2008,2951690.0,25476937728.0,3.83,30.991,3.76
616,2009,2930553.0,26471389184.0,5.2,33.773,5.2
617,2010,2913402.0,27598268416.0,7.49,36.061,7.49
618,2011,2900660.0,28452651008.0,4.15,31.486,4.09
619,2012,2892191.0,28855377920.0,4.68,30.81,4.68
620,2013,2887019.0,29142642688.0,6.89,38.665,6.89
621,2014,2884100.0,29675640832.0,4.68,34.06,4.68
622,2015,2882482.0,30444531712.0,5.84,34.083,5.84
623,2016,2881064.0,31481821184.0,7.7,39.827,7.7
624,2017,2879361.0,32678760448.0,4.48,36.863,4.48
625,2018,2877019.0,34009112576.0,8.47,42.032,8.47
626,2019,2873883.0,,5.17,33.296,5.17
627,2020,2866850.0,,5.31,31.988,5.31
628,2021,2854710.0,,8.96,40.253,8.96
629,1900,4721802.0,,,,
630,1901,4787149.0,,,,
631,1902,4859600.0,,,,
632,1903,4939332.0,,,,
633,1904,5020372.0,,,,
634,1905,5102742.0,,,,
635,1906,5186463.0,,,,
636,1907,5271557.0,,,,
637,1908,5358048.0,,,,
638,1909,5433528.0,,,,
639,1910,5497750.0,,,,
640,1911,5550464.0,,,,
641,1912,5591415.0,,,,
642,1913,5620343.0,10191437824.0,,,
643,1914,5649420.0,,,,
644,1915,5678648.0,,,,
645,1916,5708027.0,,,,
646,1917,5737558.0,,,,
647,1918,5766569.0,,,,
648,1919,5802743.0,,,,
649,1920,5846192.0,,,,
650,1921,5897033.0,,,,
651,1922,5955381.0,,,,
652,1923,6021355.0,,,,
653,1924,6088060.0,,,,
654,1925,6155505.0,,,,
655,1926,6223696.0,,,,
656,1927,6292643.0,,,,
657,1928,6362353.0,,,,
658,1929,6441431.0,,,,
659,1930,6530132.0,,,,
660,1931,6628718.0,,,,
661,1932,6737455.0,,,,
662,1933,6856617.0,,,,
663,1934,6977885.0,,,,
664,1935,7101299.0,,,,
665,1936,7226895.0,,,,
666,1937,7354713.0,,,,
667,1938,7484792.0,,,,
668,1939,7613042.0,,,,
669,1940,7739370.0,,,,
670,1941,7863680.0,,,,
671,1942,7985870.0,,,,
672,1943,8105839.0,,,,
673,1944,8227611.0,,,,
674,1945,8351211.0,,,,
675,1946,8476669.0,,,,
676,1947,8604011.0,,,,
677,1948,8733267.0,,,,
678,1949,8871792.0,,,,
679,1950,9019866.0,19350554624.0,,,
680,1951,9271741.0,19480383488.0,,,
681,1952,9521703.0,20349999104.0,,,
682,1953,9771686.0,20798191616.0,,,
683,1954,10011548.0,22019014656.0,,,
684,1955,10242297.0,22665783296.0,,,
685,1956,10473167.0,24891404288.0,,,
686,1957,10703259.0,27721039872.0,,,
687,1958,10933788.0,28728694784.0,,,
688,1959,11164451.0,33993146368.0,,,
689,1960,11394309.0,36306128896.0,,,
690,1961,11598615.0,31896877056.0,,,
691,1962,11778265.0,25126164480.0,,,
692,1963,11969449.0,31766970368.0,,,
693,1964,12179097.0,33433417728.0,,,
694,1965,12381262.0,35661975552.0,,24.833,
695,1966,12613398.0,33932634112.0,,29.833,
696,1967,12897121.0,37094768640.0,,28.247,
697,1968,13190979.0,41423888384.0,,30.345,
698,1969,13491022.0,45387460608.0,,33.539,
699,1970,13795915.0,49945669632.0,,36.759,
700,1971,14110269.0,45701218304.0,,39.733,
701,1972,14439750.0,55293906944.0,,44.648,
702,1973,14786473.0,57097850880.0,,53.251,
703,1974,15153601.0,60577882112.0,,58.909,
704,1975,15724698.0,64883814400.0,,70.37,
705,1976,16500516.0,69150105600.0,,82.102,
706,1977,17134196.0,75438030848.0,,90.213,
707,1978,17632646.0,85103919104.0,,113.361,
708,1979,18166982.0,92753895424.0,,148.54,
709,1980,18739378.0,94481653760.0,,177.143,
710,1981,19351356.0,96860520448.0,,215.186,
711,1982,20000098.0,103073660928.0,,248.112,
712,1983,20682110.0,108430385152.0,,270.967,
713,1984,21393532.0,114406670336.0,,260.196,
714,1985,22132910.0,120364212224.0,12.274,262.297,
715,1986,22882560.0,119145037824.0,12.981,277.491,
716,1987,23586098.0,118321217536.0,12.722,285.168,
717,1988,24243024.0,115821715456.0,13.966,305.422,
718,1989,24889516.0,119762436096.0,15.324,297.068,
719,1990,25518074.0,117843181568.0,16.104,314.974,0.135
720,1991,26133906.0,121105154048.0,17.345,312.095,0.293
721,1992,26748302.0,127982673920.0,18.286,320.227,0.199
722,1993,27354326.0,130275762176.0,19.414,297.995,0.353
723,1994,27937006.0,134279872512.0,19.883,301.921,0.166
724,1995,28478024.0,145054695424.0,19.715,313.145,0.193
725,1996,28984640.0,156579102720.0,20.654,309.925,0.135
726,1997,29476030.0,164644454400.0,21.497,297.86,0.075
727,1998,29924664.0,179962871808.0,23.262,308.349,0.215
728,1999,30346086.0,193179811840.0,24.757,311.434,0.203
729,2000,30774624.0,208554147840.0,23.89,299.946,0.05
730,2001,31200984.0,223420301312.0,25.03,310.813,0.07
731,2002,31624700.0,245360885760.0,25.99,321.951,0.06
732,2003,32055882.0,273568645120.0,27.81,336.922,0.26
733,2004,32510184.0,296773615616.0,29.39,349.778,0.25
734,2005,32956690.0,326854475776.0,31.91,366.272,0.55
735,2006,33435082.0,345705349120.0,33.13,379.22,0.22
736,2007,33983836.0,371665207296.0,34.98,399.64,0.22
737,2008,34569592.0,395658559488.0,37.83,423.557,0.28
738,2009,35196040.0,418247671808.0,36.2,448.859,0.3
739,2010,35856348.0,450705883136.0,43.0,438.995,0.17
740,2011,36543548.0,482034778112.0,48.17,464.488,0.5
741,2012,37260568.0,497923358720.0,53.99,507.672,0.62
742,2013,38000628.0,511887736832.0,56.32,536.977,0.33
743,2014,38760168.0,531308085248.0,60.4,585.613,0.25
744,2015,39543148.0,551519125504.0,64.68,617.518,0.22
745,2016,40339328.0,574696128512.0,66.76,616.996,0.34
746,2017,41136548.0,582167232512.0,71.5,623.795,0.64
747,2018,41927008.0,590317551616.0,72.11,669.62,0.78
748,2019,42705372.0,,76.69,694.349,0.84
749,2020,43451668.0,,72.73,648.899,0.72
750,2021,44177964.0,,77.53,703.068,0.91
751,2022,44903228.0,,91.643,684.87,0.769
752,1980,32908.0,,,1.727,
753,1981,34080.0,,,2.03,
754,1982,35388.0,,,2.83,
755,1983,36755.0,,,1.784,
756,1984,38193.0,,,2.036,
757,1985,39688.0,,,1.907,
758,1986,41240.0,,,1.968,
759,1987,42859.0,,,2.044,
760,1988,44564.0,,,1.987,
761,1989,46310.0,,,2.288,
762,1990,47841.0,,,2.406,
763,1991,49016.0,,,2.406,
764,1992,50096.0,,,2.475,
765,1993,51195.0,,,2.408,
766,1994,52311.0,,,2.346,
767,1995,53421.0,,,2.283,
768,1996,54523.0,,,2.289,
769,1997,55595.0,,,2.346,
770,1998,56626.0,,,2.346,
771,1999,57617.0,,,2.346,
