year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity
2005,9164770.0,72784388096.0,12.04,83.079,1.95
2006,9284169.0,81940078592.0,13.1,82.922,1.8
2007,9402209.0,90411704320.0,13.69,85.242,1.76
2008,9522954.0,94906286080.0,11.71,84.755,1.43
2009,9648061.0,97411112960.0,11.6,83.736,1.51
2010,9775756.0,107260354560.0,13.99,87.8,1.5
2011,9903743.0,112432726016.0,14.92,86.398,1.61
2012,10030885.0,115425804288.0,15.8,95.898,1.95
2013,10157054.0,120732909568.0,16.73,91.435,2.21
2014,10282116.0,129713741824.0,16.27,87.788,1.66
2015,10405832.0,138611523584.0,16.91,97.343,1.34
2016,10527589.0,147459375104.0,18.68,103.54,2.16
2017,10647247.0,154422411264.0,19.01,102.122,2.96
2018,10765532.0,165255135232.0,19.64,112.906,2.76
1990,10449845.0,64188502016.0,6.349,80.982,4.987
1991,10686277.0,67933605888.0,6.974,89.439,5.076
1992,10914222.0,70873808896.0,7.196,88.979,4.974
1993,11132833.0,72804343808.0,7.411,92.231,5.81
1994,11347655.0,76428115968.0,8.144,100.323,6.565
1995,11561683.0,78692040704.0,8.429,94.818,5.161
1996,11775223.0,80612106240.0,9.679,107.914,6.343
1997,11987840.0,84682932224.0,10.362,120.221,6.534
1998,12199692.0,88055963648.0,10.89,120.844,6.506
1999,12412056.0,84464762880.0,10.308,110.231,7.177
2000,12626511.0,85978873856.0,10.36,104.129,7.53
2001,12845523.0,90060685312.0,10.74,105.483,7.0
2002,13070617.0,94405017600.0,11.56,104.109,7.45
2003,13301188.0,97644568576.0,11.21,106.607,7.11
2004,13534598.0,106398015488.0,13.09,114.056,7.34
2005,13770015.0,112806723584.0,12.15,120.725,6.89
2006,14009064.0,118595035136.0,13.52,127.686,7.18
2007,14251838.0,122035339264.0,16.59,134.253,9.15
2008,14496800.0,130681241600.0,18.26,143.285,11.38
2009,14742768.0,132343726080.0,17.93,139.805,9.34
2010,14989581.0,137955147776.0,18.78,155.194,8.77
2011,15237734.0,149848326144.0,19.87,164.644,11.28
2012,15483884.0,158295818240.0,22.1,173.933,12.4
2013,15722988.0,166128254976.0,22.44,179.509,11.27
2014,15957995.0,172762087424.0,23.45,188.563,11.82
2015,16195904.0,173044858880.0,25.07,188.046,13.49
2016,16439588.0,169282355200.0,27.15,187.404,16.29
2017,16696947.0,173290962944.0,27.84,194.656,20.46
2018,17015672.0,175524675584.0,29.03,205.892,21.02
1990,57214632.0,227979902976.0,41.952,391.323,9.953
1991,58611032.0,241323327488.0,43.276,396.433,9.916
1992,59989148.0,254191042560.0,44.987,392.626,9.8
1993,61382204.0,269984907264.0,46.737,392.913,10.092
1994,62775844.0,286215798784.0,48.55,413.228,10.728
1995,64166908.0,305979195392.0,50.652,437.821,11.192
1996,65565196.0,328668905472.0,53.57,461.277,11.484
1997,66993732.0,354474459136.0,56.784,480.5,11.771
1998,68446008.0,380472688640.0,60.697,500.307,12.104
1999,69907888.0,409778257920.0,65.73,536.889,13.453
2000,71371368.0,443940929536.0,74.47,568.533,13.7
2001,72854256.0,475162705920.0,79.37,593.314,15.2
2002,74393760.0,501186265088.0,84.81,610.244,12.93
2003,75963328.0,527963291648.0,90.48,645.992,13.26
2004,77522424.0,560813244416.0,96.21,682.054,13.04
2005,79075312.0,599346511872.0,103.16,699.417,13.07
2006,80629664.0,649072410624.0,109.5,736.644,13.42
2007,82218760.0,711521730560.0,118.78,784.579,16.18
2008,83844784.0,772704108544.0,124.29,831.838,15.44
2009,85501064.0,828245147648.0,131.67,861.671,13.86
2010,87252416.0,895092326400.0,160.3,895.112,14.63
2011,89200056.0,919296081920.0,157.08,938.079,14.55
2012,91240384.0,945768431616.0,164.4,975.215,14.35
2013,93377896.0,971071815680.0,168.23,968.144,14.66
2014,95592328.0,1018607042560.0,175.29,955.887,15.36
2015,97723792.0,1058643968000.0,186.32,971.72,15.64
2016,99784032.0,1104510713856.0,189.58,1025.583,15.5
2017,101789384.0,1159010320384.0,196.84,1065.902,15.53
2018,103740768.0,1221832605696.0,199.62,1067.152,17.31
2000,5958482.0,31478454272.0,3.73,29.403,1.95
2001,5988102.0,32499939328.0,3.79,30.531,2.12
2002,6011278.0,33751220224.0,3.97,31.272,2.12
2003,6026854.0,35029540864.0,4.27,33.366,2.55
2004,6035653.0,36185186304.0,4.35,33.276,2.46
2005,6037817.0,38001442816.0,4.71,34.427,2.81
2006,6034439.0,40054317056.0,5.6,36.387,3.22
2007,6044130.0,42202460160.0,5.71,37.939,3.35
2008,6068108.0,43393064960.0,5.98,37.234,3.9
2009,6091181.0,42668179456.0,5.84,35.896,3.4
2010,6114039.0,43862777856.0,5.98,37.191,3.9
2011,6137354.0,45520506880.0,6.1,37.244,3.91
2012,6161293.0,46608113664.0,6.25,37.562,3.85
2013,6185641.0,48017379328.0,6.26,36.514,3.79
2014,6209528.0,49026875392.0,6.24,37.35,3.74
2015,6231072.0,50319724544.0,6.01,38.634,3.57
2016,6250513.0,51736932352.0,6.02,38.951,3.68
2017,6266661.0,53130547200.0,5.49,38.685,3.93
2018,6276340.0,54756343808.0,5.33,41.711,3.94
2000,684986.0,6341192192.0,0.09,3.255,0.01
2001,719283.0,10710877184.0,0.06,1.852,0.01
2002,754127.0,12944267264.0,0.11,28.258,0.01
2003,789690.0,14778141696.0,0.12,30.617,0.01
2004,826368.0,18414356480.0,0.17,6.217,0.01
2005,864740.0,20168024064.0,0.2,22.617,0.01
2006,905425.0,21346957312.0,0.26,27.632,0.01
2007,948820.0,24766652416.0,0.32,30.564,0.01
2008,994982.0,29298388992.0,0.46,30.279,0.05
2009,1043698.0,29853093888.0,0.51,32.082,0.05
2010,1094538.0,27366670336.0,0.58,30.814,0.03
2011,1144590.0,29285787648.0,0.65,33.128,0.03
2012,1193641.0,31730929664.0,0.75,32.216,0.08
2013,1243947.0,30419136512.0,0.96,33.239,0.25
2014,1295193.0,30256852992.0,1.09,31.289,0.38
2015,1346974.0,28026101760.0,1.3,27.944,0.47
2016,1398940.0,25287602176.0,1.4,27.599,0.47
2017,1450703.0,24166326272.0,1.34,30.995,0.44
2018,1502102.0,22750613504.0,1.35,28.107,0.44
1990,1570676.0,27066095616.0,17.18,127.571,0.0
1991,1565621.0,23969413120.0,14.63,116.732,0.0
1992,1540386.0,20260763648.0,11.83,81.388,0.0
1993,1504446.0,18240808960.0,9.12,67.587,0.0
1994,1475730.0,17654292480.0,9.15,68.539,0.0
1995,1452777.0,18507421696.0,8.69,62.166,0.01
1996,1434670.0,19179796480.0,9.09,66.013,0.0
1997,1421491.0,21099665408.0,9.22,65.028,0.01
1998,1411151.0,21616367616.0,8.52,58.331,0.01
1999,1403494.0,21088651264.0,8.26,53.737,0.01
2000,1396881.0,22945026048.0,8.51,55.487,0.01
2001,1388000.0,24006164480.0,8.49,57.843,0.02
2002,1379241.0,25057701888.0,8.53,57.606,0.03
2003,1370663.0,26485059584.0,10.16,62.824,0.05
2004,1362489.0,27701385216.0,10.31,64.102,0.06
2005,1354665.0,29813616640.0,10.2,64.466,0.11
2006,1346711.0,32350019584.0,9.73,63.681,0.13
2007,1340576.0,34297835520.0,12.18,73.755,0.14
2008,1337013.0,31920816128.0,10.58,67.854,0.2
2009,1334557.0,26784890880.0,8.78,58.717,0.54
2010,1331535.0,26952075264.0,12.97,73.149,1.05
2011,1327435.0,28535476224.0,12.89,72.963,1.18
2012,1322682.0,29763610624.0,11.96,73.483,1.47
2013,1317985.0,30185959424.0,13.28,77.463,1.23
2014,1314531.0,31037874176.0,12.45,74.158,1.39
2015,1314658.0,31485411328.0,10.15,68.62,1.56
2016,1315928.0,31962619904.0,12.17,70.763,1.59
2017,1317550.0,33800136704.0,13.16,78.485,1.86
2018,1322146.0,35409424384.0,12.37,77.874,1.99
2000,1030504.0,5050303488.0,0.61,6.269,0.55
2001,1041400.0,5125500416.0,0.63,6.323,0.57
2002,1050818.0,5280506880.0,0.65,6.515,0.59
2003,1058808.0,5518729216.0,0.56,5.992,0.5
2004,1065776.0,5696421888.0,0.53,5.822,0.47
2005,1071895.0,6002942464.0,0.6,6.024,0.54
2006,1077747.0,6319745024.0,0.6,6.129,0.54
2007,1084015.0,6589486592.0,0.63,6.387,0.57
2008,1089885.0,6906669056.0,0.6,6.173,0.54
2009,1094890.0,7131567104.0,0.63,6.025,0.57
2010,1099926.0,7332277248.0,0.64,5.661,0.58
2011,1105379.0,7567466496.0,0.71,5.788,0.68
2012,1111453.0,7793097728.0,0.74,5.738,0.7
2013,1118329.0,8126636032.0,0.81,5.651,0.77
2014,1125872.0,8327527424.0,0.65,5.738,0.61
2015,1133941.0,8445665792.0,0.55,5.688,0.51
2016,1142529.0,8425262080.0,0.56,6.019,0.52
2017,1151397.0,8586136576.0,0.67,6.395,0.63
2018,1160430.0,8771760128.0,0.75,6.758,0.71
2000,67031872.0,50326962176.0,1.7,19.305,1.64
2001,69018936.0,52434132992.0,2.04,21.019,1.98
2002,71073224.0,54501777408.0,2.07,21.595,2.01
2003,73168848.0,53892042752.0,2.33,23.357,2.27
2004,75301024.0,55845388288.0,2.57,24.974,2.51
2005,77469944.0,61634772992.0,2.88,28.678,2.82
2006,79691056.0,67217117184.0,3.3,31.471,3.24
2007,81996184.0,73421791232.0,3.54,34.836,3.37
2008,84357104.0,79756500992.0,3.75,36.469,3.31
2009,86755584.0,86391037952.0,3.97,37.707,3.55
2010,89237800.0,94148632576.0,4.99,41.787,4.91
2011,91817936.0,104948621312.0,6.32,47.217,6.25
2012,94451280.0,115914989568.0,7.55,52.619,7.51
2013,97084376.0,126443028480.0,8.67,61.419,8.64
2014,99746768.0,139096784896.0,9.47,69.586,9.45
2015,102471896.0,152372019200.0,10.39,73.311,10.37
2016,105293232.0,164904124416.0,12.47,84.997,12.46
2017,108197944.0,181740830720.0,13.13,86.015,13.12
2018,111129440.0,195740319744.0,13.79,91.524,13.78
1990,4986551.0,134055206912.0,54.39,323.249,16.02
1991,5013856.0,126220410880.0,57.98,330.758,18.2
1992,5042120.0,122115850240.0,57.73,329.675,20.06
1993,5066609.0,121309724672.0,61.08,332.511,19.44
1994,5088491.0,126178762752.0,65.64,349.056,18.27
1995,5107942.0,131584983040.0,64.04,332.727,19.55
1996,5124717.0,136504623104.0,69.38,347.479,17.76
1997,5139944.0,145148297216.0,69.16,352.381,20.15
1998,5153548.0,153137954816.0,70.15,364.244,24.4
1999,5165500.0,160061980672.0,69.46,357.149,21.19
2000,5176208.0,169209069568.0,69.79,359.11,23.38
2001,5188007.0,173703233536.0,74.29,366.894,21.54
2002,5200588.0,176750428160.0,74.73,368.768,19.83
2003,5212991.0,180407926784.0,84.08,394.928,19.06
2004,5228143.0,187631845376.0,85.6,393.254,25.63
2005,5246070.0,192989478912.0,70.33,357.548,23.46
2006,5266249.0,200964489216.0,82.05,383.512,22.46
2007,5288694.0,211541000192.0,80.92,382.192,24.32
2008,5313358.0,213224882176.0,76.98,368.496,27.77
2009,5338813.0,195736961024.0,71.78,341.288,21.7
2010,5363279.0,201743089664.0,80.34,371.291,24.18
2011,5388173.0,207082078208.0,73.21,349.923,24.18
2012,5413865.0,204128370688.0,70.09,340.459,28.56
2013,5438873.0,202579968000.0,70.98,341.801,25.63
2014,5461436.0,201300410368.0,67.81,329.823,26.28
2015,5479457.0,201843998720.0,68.36,328.893,30.53
2016,5495217.0,204639584256.0,68.48,334.083,30.41
2017,5508146.0,211331219456.0,67.12,327.216,31.47
2018,5515465.0,214535733248.0,69.98,333.841,32.14
1990,56412896.0,1636207689728.0,417.2,2657.853,55.78
1991,56645216.0,1655610540032.0,451.62,2825.163,59.71
1992,56864048.0,1682859229184.0,460.02,2848.84,71.1
1993,57053728.0,1673263972352.0,469.66,2849.369,66.86
1994,57230064.0,1713239621632.0,474.6,2814.17,80.95
1995,57420356.0,1749671477248.0,491.2,2880.974,75.45
1996,57623180.0,1774691549184.0,509.16,2988.001,68.47
1997,57839364.0,1817073025024.0,500.96,2947.409,66.44
1998,58080344.0,1882612563968.0,507.25,3014.928,64.76
1999,58352208.0,1950261968896.0,521.23,3068.208,75.4
2000,58665456.0,2031949578240.0,533.6,3107.309,67.83
2001,59014776.0,2077914824704.0,543.65,3145.42,76.09
2002,59372784.0,2107291205632.0,552.12,3113.109,62.69
2003,59728260.0,2130783764480.0,559.92,3145.164,61.47
2004,60108436.0,2196565655552.0,567.19,3170.968,62.42
2005,60510080.0,2238357176320.0,569.86,3152.401,54.98
2006,60919152.0,2296438063104.0,568.0,3127.131,60.91
2007,61329380.0,2353924145152.0,562.21,3072.352,64.3
2008,61721004.0,2361538117632.0,567.35,3081.914,72.33
2009,62093300.0,2294314958848.0,529.21,2909.973,68.15
2010,62444568.0,2341292736512.0,562.83,2997.734,76.68
2011,62775272.0,2391848255488.0,567.4,2882.312,66.02
2012,63071412.0,2395403190272.0,567.08,2881.175,85.25
2013,63335180.0,2415696805888.0,576.45,2908.428,99.42
2014,63588496.0,2424453726208.0,566.19,2785.743,94.03
2015,63809768.0,2453072773120.0,573.92,2803.133,91.84
2016,63989320.0,2479389933568.0,558.65,2754.993,99.0
2017,64144092.0,2536203354112.0,556.08,2734.68,92.63
2018,64277812.0,2581673803776.0,575.83,2785.428,113.62
2000,1272941.0,12538006528.0,1.28,11.477,0.8
2001,1306593.0,13408100352.0,1.35,12.385,0.87
2002,1341696.0,13745928192.0,1.42,12.388,0.91
2003,1378406.0,14717086720.0,1.46,12.05,0.89
2004,1417115.0,15597621248.0,1.48,12.28,0.88
2005,1458362.0,16662218752.0,1.51,13.147,0.8
2006,1502540.0,17083860992.0,1.61,13.485,0.94
2007,1549774.0,19294894080.0,1.68,13.4,0.79
2008,1599988.0,19821185024.0,1.77,13.676,0.88
2009,1653549.0,21001807872.0,1.81,13.53,0.94
2010,1711117.0,23885381632.0,1.87,15.767,0.9
2011,1772508.0,27165933568.0,1.96,16.134,0.83
2012,1836711.0,29020540928.0,2.08,20.215,0.9
2013,1902230.0,31179700224.0,2.02,20.43,0.93
2014,1966858.0,33268465664.0,1.92,21.332,0.79
2015,2028524.0,35035176960.0,2.05,20.505,0.93
2016,2086210.0,36204781568.0,2.24,20.321,0.96
2017,2140225.0,36385443840.0,2.19,21.514,0.94
2018,2192013.0,36693262336.0,2.17,19.279,0.91
2000,1437540.0,1955249536.0,0.11,1.266,0.0
2001,1479456.0,2082662912.0,0.13,1.379,0.0
2002,1522230.0,2108436352.0,0.14,1.373,0.0
2003,1566263.0,2172586752.0,0.16,1.373,0.0
2004,1612237.0,2391385088.0,0.17,1.449,0.0
2005,1660377.0,2386414848.0,0.19,1.464,0.0
2006,1711297.0,2432257536.0,0.2,1.591,0.0
2007,1764889.0,2539291136.0,0.22,1.65,0.0
2008,1820544.0,2704420864.0,0.23,1.714,0.0
2009,1878124.0,2899496192.0,0.23,1.842,0.0
2010,1937284.0,3111135744.0,0.23,2.009,0.0
2011,1998215.0,3000861952.0,0.24,2.112,0.0
2012,2061020.0,3174000128.0,0.25,2.059,0.0
2013,2124876.0,3327260928.0,0.25,2.049,0.0
2014,2189023.0,3357018112.0,0.26,2.265,0.0
2015,2253137.0,3514848000.0,0.28,2.318,0.0
2016,2317212.0,3593880064.0,0.29,2.337,0.0
2017,2381189.0,3732270080.0,0.3,2.377,0.0
2018,2444916.0,3939021824.0,0.31,2.393,0.0
2000,4265175.0,23550461952.0,7.27,40.194,5.8
2001,4144485.0,24543610880.0,6.8,37.133,5.49
2002,4061127.0,25794070528.0,7.16,43.765,6.7
2003,4017826.0,28539744256.0,7.06,38.952,6.46
2004,3988861.0,30055133184.0,6.81,40.229,5.99
2005,3961183.0,32780605440.0,7.14,45.765,6.17
2006,3933866.0,35705843712.0,7.11,41.373,5.26
2007,3906476.0,40006930432.0,8.17,51.746,6.75
2008,3879701.0,40781258752.0,8.3,51.765,7.09
2009,3855203.0,39112843264.0,8.42,52.634,7.34
2010,3836834.0,41359867904.0,9.98,56.745,9.27
2011,3821667.0,44138078208.0,9.98,52.819,7.81
2012,3804358.0,46940131328.0,9.47,54.695,7.15
2013,3786025.0,48532123648.0,9.87,61.591,8.19
2014,3774232.0,50778370048.0,10.16,64.329,8.25
2015,3771135.0,52238069760.0,10.61,68.213,8.37
2016,3771112.0,53661818880.0,11.35,72.101,9.25
2017,3771904.0,56260120576.0,11.31,71.688,9.21
2018,3772323.0,58984800256.0,11.92,73.12,9.93
1990,79370192.0,2015547621376.0,546.82,4192.642,19.1
1991,79801984.0,2140549414912.0,535.83,4090.643,16.98
1992,80205024.0,2206446125056.0,533.66,4009.338,19.73
1993,80573496.0,2210102247424.0,522.49,3991.526,20.52
1994,80882120.0,2290161025024.0,525.21,3954.172,23.44
1995,81123264.0,2356396687360.0,532.81,3974.795,25.93
1996,81300864.0,2402605858816.0,550.69,4105.846,26.55
1997,81436096.0,2474738188288.0,548.01,4053.187,23.06
1998,81524384.0,2552402542592.0,552.38,4019.631,24.91
1999,81556968.0,2632654520320.0,552.54,3963.56,28.72
2000,81551680.0,2741356986368.0,569.01,3988.179,35.47
2001,81514568.0,2819462529024.0,578.96,4062.799,37.9
2002,81443424.0,2851462971392.0,583.75,4011.723,44.48
2003,81346808.0,2863394193408.0,600.7,4010.471,46.67
2004,81266672.0,2929753849856.0,608.38,4009.893,57.97
2005,81212168.0,2983874265088.0,611.23,3962.631,63.4
2006,81177816.0,3129394593792.0,627.36,4062.384,72.51
2007,81183832.0,3268102848512.0,629.74,3893.425,89.38
2008,81217488.0,3340933005312.0,630.98,3934.661,94.28
2009,81260624.0,3189039955968.0,586.66,3692.18,95.94
2010,81325088.0,3356793241600.0,622.73,3847.15,105.18
2011,81423384.0,3519131418624.0,603.26,3710.586,124.04
2012,81545568.0,3536438165504.0,618.34,3761.915,143.04
2013,81680592.0,3553715290112.0,629.1,3868.519,152.34
2014,81858824.0,3610400784384.0,617.96,3710.461,162.54
2015,82073232.0,3672553029632.0,638.67,3780.858,188.79
2016,82331432.0,3735419092992.0,640.97,3842.884,189.67
2017,82624368.0,3827498221568.0,644.04,3892.673,216.32
2018,82896696.0,3885961314304.0,630.69,3795.127,222.07
2000,19665506.0,39519514624.0,7.13,41.627,6.55
2001,20195584.0,41144434688.0,7.73,41.868,6.55
2002,20758324.0,42979041280.0,7.11,38.324,5.01
2003,21329520.0,45217304576.0,5.73,35.093,3.87
2004,21906448.0,47687385088.0,5.88,41.455,5.24
2005,22496952.0,50453082112.0,6.68,42.603,5.58
2006,23098590.0,53573709824.0,8.22,41.445,5.58
2007,23708328.0,55855472640.0,6.77,39.113,3.71
2008,24326092.0,60944891904.0,8.14,46.215,6.14
2009,24950768.0,63844990976.0,8.78,53.156,6.82
2010,25574722.0,68838727680.0,9.93,54.777,6.95
2011,26205940.0,78458888192.0,10.93,68.864,7.51
2012,26858760.0,85729714176.0,11.72,70.667,8.01
2013,27525586.0,92004286464.0,12.53,74.279,8.17
2014,28196356.0,95677579264.0,12.63,75.372,8.32
2015,28870946.0,99411263488.0,11.17,82.196,5.81
2016,29554298.0,103444160512.0,11.4,83.195,5.56
2017,30222266.0,111867617280.0,12.84,83.352,5.67
2018,30870648.0,118873890816.0,14.37,96.078,6.07
1990,10302255.0,161708982272.0,34.78,287.312,1.77
1991,10391552.0,168230944768.0,35.74,291.482,3.1
1992,10478389.0,170928734208.0,37.22,296.618,2.21
1993,10563442.0,169706668032.0,38.13,300.531,2.33
1994,10647420.0,174662615040.0,40.39,305.643,2.64
1995,10727928.0,179928432640.0,41.3,316.794,3.56
1996,10803809.0,186744569856.0,42.42,324.801,4.39
1997,10875274.0,196868816896.0,43.29,334.044,3.92
1998,10939474.0,206380728320.0,46.19,354.773,3.79
1999,10993861.0,214634217472.0,49.39,354.705,4.75
2000,11038112.0,225054588928.0,53.42,373.052,4.14
2001,11072182.0,236462129152.0,53.08,376.025,2.94
2002,11096620.0,247945854976.0,53.95,376.371,3.58
2003,11110488.0,264671526912.0,57.9,398.316,5.89
2004,11115089.0,280566759424.0,58.8,398.232,5.91
2005,11113450.0,284786819072.0,59.43,399.606,6.41
2006,11106097.0,303593193472.0,60.17,411.306,7.67
2007,11091491.0,316350857216.0,62.71,419.35,4.59
2008,11073621.0,318127308800.0,62.92,411.585,5.75
2009,11055503.0,307180732416.0,61.07,396.398,8.16
2010,11033784.0,292966531072.0,57.38,378.437,10.53
2011,11004730.0,268611518464.0,59.19,371.285,8.15
2012,10963633.0,248992874496.0,60.75,349.302,10.13
2013,10914501.0,240930471936.0,57.12,328.303,14.36
2014,10862972.0,241776394240.0,50.35,307.91,12.18
2015,10806644.0,241242128384.0,51.83,311.723,14.85
2016,10749742.0,241653891072.0,54.41,306.97,14.89
2017,10692230.0,245290991616.0,55.18,322.177,13.8
2018,10633275.0,250035847168.0,53.25,324.05,16.14
2000,11735893.0,68715679744.0,6.03,47.631,3.43
2001,12009197.0,70380544000.0,5.83,49.645,2.99
2002,12289867.0,73277358080.0,6.14,50.179,2.67
2003,12570507.0,75358445568.0,7.65,55.094,3.53
2004,12852433.0,78110564352.0,6.75,51.992,3.32
2005,13132818.0,80887496704.0,8.29,53.676,4.19
2006,13412401.0,85203984384.0,8.29,56.908,4.28
2007,13696609.0,90478133248.0,9.02,61.005,4.51
2008,13979451.0,93355040768.0,8.44,56.658,4.73
2009,14259415.0,93747200000.0,8.55,59.241,4.02
2010,14543126.0,96368689152.0,7.99,58.236,5.35
2011,14833458.0,100319617024.0,8.28,59.401,5.37
2012,15128307.0,103417749504.0,9.31,63.603,6.22
2013,15422663.0,107344740352.0,10.06,68.008,6.82
2014,15713744.0,111915376640.0,10.69,71.688,7.29
2015,16001105.0,116637179904.0,11.44,80.047,7.09
2016,16291004.0,120159256576.0,12.03,87.282,7.6
2017,16578718.0,123767644160.0,12.68,94.633,8.91
2018,16850176.0,127549980672.0,14.12,97.3,9.17
2000,8336973.0,8142368256.0,0.75,7.78,0.41
2001,8445722.0,8530150912.0,0.94,8.524,0.55
2002,8577787.0,9080053760.0,0.99,8.881,0.59
2003,8772259.0,9309106176.0,0.87,8.629,0.4
2004,8961046.0,9645747200.0,0.94,9.331,0.55
2005,9140112.0,10059821056.0,0.88,9.43,0.49
2006,9330632.0,10279821312.0,0.85,9.589,0.46
2007,9547087.0,11105668096.0,0.94,10.18,0.53
2008,9779793.0,11730749440.0,0.96,10.279,0.52
2009,10021319.0,11707655168.0,0.96,10.79,0.52
2010,10270728.0,12362233856.0,0.92,12.349,0.48
2011,10527711.0,13233698816.0,0.85,12.58,0.41
2012,10788696.0,14087314432.0,0.71,12.204,0.49
2013,11055433.0,14709018624.0,0.64,10.857,0.48
2014,11333362.0,14874104832.0,0.69,11.221,0.42
2015,11626003.0,14900875264.0,1.14,13.617,0.9
2016,11930991.0,15905507328.0,1.61,15.34,1.1
2017,12240791.0,18022438912.0,1.77,15.438,1.23
2018,12554871.0,19045322752.0,1.49,14.088,0.76
2000,1230855.0,1486201600.0,0.03,0.997,0.0
2001,1257390.0,1520990592.0,0.03,1.015,0.0
2002,1285682.0,1507700352.0,0.02,1.037,0.0
2003,1315670.0,1522869248.0,0.02,1.206,0.0
2004,1347012.0,1573921408.0,0.03,1.247,0.0
2005,1379714.0,1653070464.0,0.03,1.264,0.0
2006,1414094.0,1701900928.0,0.03,1.292,0.0
2007,1450574.0,1768964992.0,0.03,1.373,0.0
2008,1488437.0,1837842560.0,0.03,1.337,0.0
2009,1527207.0,1913611648.0,0.03,1.386,0.0
2010,1567226.0,2015432192.0,0.03,1.422,0.0
2011,1609025.0,2192198912.0,0.03,1.443,0.0
2012,1652720.0,2160239104.0,0.03,1.471,0.0
2013,1697757.0,2238347520.0,0.03,1.506,0.0
2014,1743318.0,2253617152.0,0.03,1.582,0.0
2015,1788931.0,2372699648.0,0.06,1.637,0.0
2016,1834554.0,2506111488.0,0.08,1.704,0.0
2017,1879835.0,2652453632.0,0.08,1.379,0.0
2018,1924954.0,2752462080.0,0.08,1.386,0.0
2000,8360224.0,12590116864.0,0.53,6.99,0.28
2001,8511728.0,12654294016.0,0.57,7.604,0.28
2002,8661546.0,12820096000.0,0.53,8.329,0.26
2003,8812248.0,13072601088.0,0.51,7.706,0.25
2004,8961495.0,12808948736.0,0.53,8.874,0.26
2005,9111901.0,13245369344.0,0.53,9.256,0.26
2006,9266293.0,13759840256.0,0.55,9.475,0.27
2007,9420832.0,14437109760.0,0.45,10.218,0.15
2008,9575251.0,14789628928.0,0.47,10.295,0.18
2009,9730646.0,15482895360.0,0.68,9.787,0.2
2010,9842883.0,14869726208.0,0.56,9.077,0.17
2011,9954318.0,15936159744.0,0.65,9.542,0.12
2012,10108541.0,16393482240.0,1.05,10.491,0.22
2013,10261205.0,17085683712.0,1.0,11.039,0.14
2014,10412741.0,17572202496.0,0.98,11.896,0.09
2015,10563762.0,17862467584.0,0.98,13.57,0.08
2016,10713845.0,18119806976.0,1.02,14.088,0.07
2017,10863546.0,18372038656.0,1.0,13.984,0.13
2018,11012427.0,18653679616.0,1.0,14.597,0.2
2000,6656727.0,21239306240.0,3.55,24.346,2.27
2001,6837861.0,21992955904.0,3.75,26.576,1.92
2002,7019912.0,22983632896.0,3.94,26.845,1.69
2003,7201883.0,24205426688.0,4.35,29.437,1.84
2004,7383408.0,25910108160.0,4.66,31.276,1.55
2005,7564615.0,27704981504.0,5.39,32.102,1.92
2006,7745204.0,29769398272.0,5.75,30.896,2.27
2007,7924462.0,31871723520.0,6.05,38.258,2.49
2008,8101776.0,33484304384.0,6.28,37.898,2.55
2009,8277309.0,32923389952.0,6.38,35.912,3.06
2010,8450936.0,34409603072.0,6.53,37.518,3.34
2011,8622510.0,35990761472.0,7.0,37.997,3.25
2012,8792370.0,37443690496.0,7.49,41.388,3.64
2013,8960654.0,38446698496.0,7.72,41.48,3.56
2014,9127851.0,39484542976.0,8.37,45.448,3.73
2015,9294510.0,40757800960.0,9.39,50.56,4.34
2016,9460798.0,42061463552.0,9.55,49.596,4.81
2017,9626845.0,43867512832.0,9.6,52.526,5.44
2018,9792854.0,45382746112.0,9.9,57.746,6.11
1990,5838573.0,159035326464.0,28.96,139.358,0.0
1991,5923453.0,166794706944.0,31.889,144.389,0.0
1992,6007690.0,175823863808.0,35.076,169.929,0.0
1993,6089809.0,185281249280.0,35.947,185.502,0.0
1994,6168709.0,194935750656.0,26.741,168.093,0.0
1995,6243859.0,198024249344.0,27.916,180.681,0.0
1996,6333446.0,204853985280.0,28.44,180.591,0.0
1997,6441245.0,213630222336.0,28.943,182.693,0.0
1998,6546051.0,199509311488.0,31.414,186.234,0.0
1999,6641959.0,202921197568.0,29.496,188.622,0.0
2000,6731195.0,216781242368.0,29.45,197.475,0.0
2001,6801538.0,216306581504.0,30.49,249.42,0.0
2002,6848847.0,218185318400.0,32.25,243.433,0.0
2003,6886463.0,223111692288.0,33.39,251.405,0.0
2004,6915997.0,240644194304.0,34.91,281.527,0.07
2005,6936872.0,256420806656.0,36.14,270.09,0.07
2006,6960600.0,272324296704.0,36.3,285.752,0.07
2007,7001452.0,287685148672.0,36.61,304.014,0.09
2008,7050673.0,291529719808.0,35.71,282.853,0.05
2009,7094600.0,282158628864.0,36.41,308.858,0.07
2010,7132437.0,298918510592.0,36.04,321.176,0.08
2011,7175370.0,310881386496.0,36.72,329.331,0.08
2012,7234062.0,316167815168.0,36.47,316.489,0.08
2013,7296820.0,325974589440.0,36.76,325.055,0.07
2014,7352180.0,334980448256.0,37.46,317.236,0.08
2015,7399845.0,342917120000.0,35.72,326.495,0.07
2016,7435925.0,350065655808.0,36.0,335.114,0.13
2017,7461508.0,363336761344.0,34.85,359.495,0.14
2018,7481563.0,373682634752.0,34.42,363.676,0.14
1990,10375989.0,106788855808.0,28.44,323.255,0.2
