year,country,iso_code,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,non_renewables_consumption,total_consumption,continents
1965,Algeria,DZA,0.0,0.814,23.65,7.431,1.183,0.0,15.405,0.0,1.183,0.0,0.0,47.3,48.483,Africa
1966,Algeria,DZA,0.0,0.791,28.783,7.719,1.05,0.0,20.273,0.0,1.05,0.0,0.0,57.566,58.616,Africa
1967,Algeria,DZA,0.0,0.605,27.035,7.488,1.212,0.0,18.942,0.0,1.212,0.0,0.0,54.07,55.282,Africa
1968,Algeria,DZA,0.0,0.64,28.68,7.873,1.665,0.0,20.167,0.0,1.665,0.0,0.0,57.36,59.025,Africa
1969,Algeria,DZA,0.0,0.814,32.472,10.352,1.067,0.0,21.306,0.0,1.067,0.0,0.0,64.944,66.011,Africa
1970,Algeria,DZA,0.0,0.965,35.044,9.731,1.715,0.0,24.348,0.0,1.715,0.0,0.0,70.088,71.803,Africa
1971,Algeria,DZA,0.0,0.267,38.757,11.049,0.976,0.0,27.44,0.0,0.976,0.0,0.0,77.513,78.489,Africa
1972,Algeria,DZA,0.0,0.233,43.184,12.83,1.464,0.0,30.121,0.0,1.464,0.0,0.0,86.368,87.832,Africa
1973,Algeria,DZA,0.0,0.267,51.027,17.859,2.224,0.0,32.9,0.0,2.224,0.0,0.0,102.053,104.277,Africa
1974,Algeria,DZA,0.0,0.221,57.439,20.674,1.47,0.0,36.544,0.0,1.47,0.0,0.0,114.878,116.348,Africa
1975,Algeria,DZA,0.0,0.279,69.4,28.49,0.97,0.0,40.631,0.0,0.97,0.0,0.0,138.8,139.77,Africa
1976,Algeria,DZA,0.0,0.547,80.952,33.688,1.15,0.0,46.718,0.0,1.15,0.0,0.0,161.905,163.055,Africa
1977,Algeria,DZA,0.0,0.709,89.417,35.901,0.795,0.0,52.806,0.0,0.795,0.0,0.0,178.833,179.628,Africa
1978,Algeria,DZA,0.0,0.361,112.622,57.654,0.739,0.0,54.608,0.0,0.739,0.0,0.0,225.245,225.984,Africa
1979,Algeria,DZA,0.0,0.837,147.68,81.524,0.86,0.0,65.319,0.0,0.86,0.0,0.0,295.36,296.22,Africa
1980,Algeria,DZA,0.0,0.744,176.383,109.436,0.76,0.0,66.202,0.0,0.76,0.0,0.0,352.765,353.525,Africa
1981,Algeria,DZA,0.0,0.523,214.104,142.257,1.082,0.0,71.323,0.0,1.082,0.0,0.0,428.207,429.289,Africa
1982,Algeria,DZA,0.0,9.711,246.696,161.411,1.416,0.0,75.573,0.0,1.416,0.0,0.0,493.391,494.807,Africa
1983,Algeria,DZA,0.0,8.664,270.272,176.715,0.695,0.0,84.892,0.0,0.695,0.0,0.0,540.543,541.238,Africa
1984,Algeria,DZA,0.0,9.606,258.86,155.251,1.337,0.0,94.002,0.0,1.337,0.0,0.0,517.719,519.056,Africa
1985,Algeria,DZA,0.0,10.025,260.386,153.807,1.91,0.0,96.554,0.0,1.91,0.0,0.0,520.772,522.682,Africa
1986,Algeria,DZA,0.0,10.293,276.751,168.437,0.739,0.0,98.021,0.0,0.739,0.0,0.0,553.502,554.241,Africa
1987,Algeria,DZA,0.0,12.305,283.693,172.288,1.476,0.0,99.101,0.0,1.476,0.0,0.0,567.387,568.863,Africa
1988,Algeria,DZA,0.0,11.572,304.881,194.136,0.541,0.0,99.173,0.0,0.541,0.0,0.0,609.762,610.303,Africa
1989,Algeria,DZA,0.0,9.781,296.4,182.683,0.668,0.0,103.937,0.0,0.668,0.0,0.0,592.801,593.469,Africa
1990,Algeria,DZA,0.0,7.664,314.575,195.099,0.399,0.0,111.812,0.0,0.399,0.0,0.0,629.15,629.549,Africa
1991,Algeria,DZA,0.0,7.908,311.229,192.692,0.866,0.0,110.628,0.0,0.866,0.0,0.0,622.457,623.323,Africa
1992,Algeria,DZA,0.0,9.397,319.638,198.949,0.588,0.0,111.293,0.0,0.588,0.0,0.0,639.277,639.865,Africa
1993,Algeria,DZA,0.0,7.653,296.951,178.544,1.044,0.0,110.755,0.0,1.044,0.0,0.0,593.903,594.947,Africa
1994,Algeria,DZA,0.0,7.211,301.43,188.169,0.491,0.0,106.051,0.0,0.491,0.0,0.0,602.861,603.352,Africa
1995,Algeria,DZA,0.0,7.211,312.574,202.221,0.571,0.0,103.142,0.0,0.571,0.0,0.0,625.148,625.719,Africa
1996,Algeria,DZA,0.0,3.396,309.526,207.707,0.399,0.0,98.422,0.0,0.399,0.0,0.0,619.051,619.45,Africa
1997,Algeria,DZA,0.0,5.955,297.638,194.04,0.222,0.0,97.643,0.0,0.222,0.0,0.0,595.276,595.498,Africa
1998,Algeria,DZA,0.0,6.373,307.713,200.681,0.636,0.0,100.659,0.0,0.636,0.0,0.0,615.426,616.062,Africa
1999,Algeria,DZA,0.0,6.827,310.834,205.109,0.6,0.0,98.898,0.0,0.6,0.0,0.0,621.668,622.268,Africa
2000,Algeria,DZA,0.0,5.641,299.786,191.013,0.16,0.0,103.132,0.0,0.16,0.0,0.0,599.572,599.732,Africa
2001,Algeria,DZA,0.0,6.513,310.61,197.322,0.203,0.0,106.775,0.0,0.203,0.0,0.0,621.22,621.423,Africa
2002,Algeria,DZA,0.0,8.548,321.784,194.839,0.166,0.0,118.397,0.0,0.166,0.0,0.0,643.568,643.734,Africa
2003,Algeria,DZA,0.0,7.048,336.154,205.932,0.769,0.0,123.174,0.0,0.769,0.0,0.0,672.308,673.077,Africa
2004,Algeria,DZA,0.0,8.408,349.055,211.899,0.723,0.0,128.747,0.0,0.723,0.0,0.0,698.109,698.832,Africa
2005,Algeria,DZA,0.0,6.908,364.681,223.56,1.59,0.0,134.213,0.0,1.59,0.0,0.0,729.362,730.952,Africa
2006,Algeria,DZA,0.0,10.258,378.601,228.497,0.619,0.0,139.846,0.0,0.619,0.0,0.0,757.202,757.821,Africa
2007,Algeria,DZA,0.0,8.804,399.001,233.807,0.639,0.0,156.39,0.0,0.639,0.0,0.0,798.002,798.641,Africa
2008,Algeria,DZA,0.0,8.804,422.762,244.042,0.795,0.0,169.916,0.0,0.795,0.0,0.0,845.524,846.319,Africa
2009,Algeria,DZA,0.0,5.652,447.904,262.118,0.955,0.0,180.134,0.0,0.955,0.0,0.0,895.808,896.763,Africa
2010,Algeria,DZA,0.0,3.605,438.489,253.272,0.48,0.0,181.612,0.0,0.505,0.025,0.0,876.978,877.483,Africa
2011,Algeria,DZA,0.0,3.198,463.396,267.97,1.043,0.0,192.228,0.0,1.093,0.05,0.0,926.792,927.885,Africa
2012,Algeria,DZA,0.0,3.396,506.532,298.741,1.067,0.0,204.395,0.0,1.14,0.073,0.0,1013.064,1014.204,Africa
2013,Algeria,DZA,0.0,1.838,536.629,321.215,0.27,0.0,213.576,0.0,0.348,0.078,0.0,1073.258,1073.606,Africa
2014,Algeria,DZA,0.0,2.082,584.925,360.918,0.523,0.0,221.925,0.0,0.688,0.163,0.003,1169.85,1170.538,Africa
2015,Algeria,DZA,0.0,1.547,616.92,379.225,0.39,0.0,236.148,0.0,0.598,0.156,0.051,1233.84,1234.438,Africa
2016,Algeria,DZA,0.0,0.57,616.096,385.962,0.193,0.0,229.564,0.0,0.9,0.656,0.051,1232.192,1233.092,Africa
2017,Algeria,DZA,0.0,2.117,622.254,394.625,0.149,0.0,225.512,0.0,1.541,1.341,0.051,1244.508,1246.049,Africa
2018,Algeria,DZA,0.0,5.815,667.688,434.087,0.31,0.0,227.786,0.0,1.931,1.595,0.026,1335.376,1337.307,Africa
2019,Algeria,DZA,0.0,4.803,692.301,450.546,0.401,0.0,236.951,0.0,2.048,1.621,0.026,1384.601,1386.649,Africa
2020,Algeria,DZA,0.0,1.524,646.949,433.5,0.13,0.0,211.925,0.0,1.949,1.799,0.02,1293.898,1295.847,Africa
2021,Algeria,DZA,0.0,3.105,701.279,477.015,0.024,0.0,221.159,0.0,1.789,1.737,0.027,1402.558,1404.347,Africa
2022,Algeria,DZA,0.0,1.497,682.865,442.75,0.2,0.0,238.618,0.0,2.005,1.777,0.027,1365.73,1367.735,Africa
1965,Argentina,ARG,0.0,8.455,324.905,41.234,3.623,0.0,275.216,0.0,3.623,0.0,0.0,649.81,653.433,South America
1966,Argentina,ARG,0.0,6.972,335.505,44.657,3.669,0.0,283.876,0.0,3.669,0.0,0.0,671.01,674.679,South America
1967,Argentina,ARG,0.0,7.84,345.275,46.699,3.757,0.0,290.735,0.0,3.757,0.0,0.0,690.549,694.306,South America
1968,Argentina,ARG,0.0,7.619,356.416,52.0,4.429,0.0,296.797,0.0,4.429,0.0,0.0,712.832,717.261,South America
1969,Argentina,ARG,0.0,9.122,368.939,51.805,3.972,0.0,308.011,0.0,3.972,0.0,0.0,737.877,741.849,South America
1970,Argentina,ARG,0.0,11.723,348.703,58.544,4.604,0.0,278.435,0.18,4.784,0.0,0.0,697.405,702.189,South America
1971,Argentina,ARG,0.0,10.278,369.981,63.203,4.572,0.0,296.501,0.188,4.76,0.0,0.0,739.963,744.723,South America
1972,Argentina,ARG,0.0,8.651,374.762,70.924,4.443,0.0,295.186,0.243,4.686,0.0,0.0,749.523,754.209,South America
1973,Argentina,ARG,0.0,9.497,387.403,80.708,8.863,0.0,297.199,0.191,9.055,0.0,0.0,774.807,783.862,South America
1974,Argentina,ARG,0.0,11.826,394.374,85.424,14.769,2.94,297.124,0.195,14.964,0.0,0.0,791.688,806.652,South America
1975,Argentina,ARG,0.0,11.511,379.864,87.525,15.361,7.142,280.828,0.204,15.565,0.0,0.0,766.87,782.435,South America
1976,Argentina,ARG,0.0,11.643,400.392,98.514,14.829,7.298,290.235,0.195,15.024,0.0,0.0,808.082,823.106,South America
1977,Argentina,ARG,0.0,11.009,419.557,102.89,17.052,4.645,305.658,0.204,17.257,0.0,0.0,843.759,861.016,South America
1978,Argentina,ARG,0.0,13.419,410.799,100.07,22.907,8.217,297.309,0.204,23.111,0.0,0.0,829.814,852.925,South America
1979,Argentina,ARG,0.0,12.502,435.202,102.89,31.512,7.639,319.81,0.303,31.816,0.0,0.0,878.043,909.859,South America
1980,Argentina,ARG,0.0,11.145,420.292,112.129,44.771,6.64,297.018,0.316,45.088,0.0,0.0,847.224,892.312,South America
1981,Argentina,ARG,0.0,10.56,406.272,117.186,43.423,7.99,278.526,0.278,43.701,0.0,0.0,820.534,864.235,South America
1982,Argentina,ARG,0.0,10.666,408.82,133.135,52.02,5.306,265.018,0.367,52.387,0.0,0.0,822.945,875.332,South America
1983,Argentina,ARG,0.0,9.68,421.144,143.152,54.463,9.662,268.312,0.495,54.958,0.0,0.0,851.95,906.908,South America
1984,Argentina,ARG,0.0,7.185,415.029,152.391,58.779,13.169,255.453,0.367,59.146,0.0,0.0,843.227,902.373,South America
1985,Argentina,ARG,0.0,10.6,403.804,155.697,61.071,16.361,237.507,0.383,61.454,0.0,0.0,823.969,885.423,South America
1986,Argentina,ARG,0.0,12.109,430.098,168.242,62.186,16.205,249.746,0.396,62.582,0.0,0.0,876.4,938.982,South America
1987,Argentina,ARG,0.0,13.44,448.359,168.34,64.795,18.345,266.58,0.338,65.133,0.0,0.0,915.064,980.197,South America
1988,Argentina,ARG,0.0,13.772,478.772,196.639,45.121,16.452,268.36,0.393,45.514,0.0,0.0,973.995,1019.509,South America
1989,Argentina,ARG,0.0,14.903,467.809,206.559,38.995,14.298,246.347,0.338,39.333,0.0,0.0,949.916,989.249,South America
1990,Argentina,ARG,0.0,12.266,439.559,197.32,52.378,20.66,229.973,0.425,52.802,0.0,0.0,899.778,952.58,South America
1991,Argentina,ARG,0.0,10.794,451.996,200.918,46.925,22.008,240.283,0.418,47.343,0.0,0.0,925.999,973.342,South America
1992,Argentina,ARG,0.0,12.168,482.131,217.256,56.671,20.092,252.706,0.415,57.086,0.0,0.0,984.353,1041.439,South America
1993,Argentina,ARG,0.0,8.07,485.263,229.413,70.283,21.991,247.78,0.306,70.589,0.0,0.0,992.517,1063.106,South America
1994,Argentina,ARG,0.0,7.065,504.392,235.831,80.686,23.367,261.495,0.316,81.002,0.0,0.0,1032.15,1113.152,South America
1995,Argentina,ARG,0.0,7.414,529.436,262.478,78.371,20.05,259.544,0.38,78.751,0.0,0.0,1078.922,1157.673,South America
1996,Argentina,ARG,0.0,7.767,568.775,301.183,66.449,21.165,259.824,0.712,67.189,0.0,0.028,1158.714,1225.903,South America
1997,Argentina,ARG,0.0,6.128,558.979,277.551,82.573,22.589,275.3,0.571,83.187,0.0,0.043,1140.547,1223.734,South America
1998,Argentina,ARG,0.0,8.237,588.233,296.71,78.288,21.148,283.285,0.66,79.044,0.0,0.096,1197.613,1276.657,South America
1999,Argentina,ARG,0.0,9.885,611.693,314.701,63.27,20.163,287.107,0.836,64.209,0.0,0.103,1243.549,1307.758,South America
2000,Argentina,ARG,0.0,7.513,595.418,322.967,84.497,17.527,264.938,1.232,85.832,0.0,0.103,1208.363,1294.195,South America
2001,Argentina,ARG,0.0,6.157,553.856,302.35,107.465,19.9,245.349,1.159,108.769,0.0,0.145,1127.612,1236.381,South America
2002,Argentina,ARG,0.0,4.586,531.831,294.376,104.433,16.304,232.869,1.692,106.339,0.0,0.214,1079.966,1186.305,South America
2003,Argentina,ARG,0.0,5.594,579.387,336.29,98.026,21.056,237.502,2.811,101.063,0.0,0.226,1179.829,1280.892,South America
2004,Argentina,ARG,0.0,9.52,632.297,368.091,87.782,21.76,254.686,2.769,90.76,0.0,0.209,1286.354,1377.114,South America
2005,Argentina,ARG,0.0,10.962,670.516,392.89,97.975,18.885,266.664,2.926,101.106,0.0,0.205,1359.917,1461.023,South America
2006,Argentina,ARG,0.0,9.924,697.754,406.505,108.169,21.082,281.325,3.34,111.707,0.0,0.198,1416.59,1528.297,South America
2007,Argentina,ARG,0.0,14.36,754.091,427.122,88.279,19.683,312.609,3.418,91.872,0.0,0.174,1527.865,1619.737,South America
2008,Argentina,ARG,0.0,17.516,765.599,431.887,87.673,19.938,316.196,3.85,91.641,0.0,0.118,1551.136,1642.777,South America
2009,Argentina,ARG,0.0,9.621,730.004,418.356,96.679,21.929,302.028,3.795,100.577,0.0,0.103,1481.938,1582.515,South America
2010,Argentina,ARG,5.923,13.472,761.782,420.874,92.593,19.203,327.436,4.397,102.984,0.0,0.07,1542.767,1645.751,South America
2011,Argentina,ARG,8.673,14.619,792.928,438.398,86.034,16.942,339.912,4.436,99.221,0.004,0.073,1602.799,1702.02,South America
2012,Argentina,ARG,10.397,13.669,830.823,456.642,79.967,16.845,360.511,4.639,96.039,0.022,1.014,1678.49,1774.529,South America
2013,Argentina,ARG,11.902,14.939,857.796,460.277,89.316,16.233,382.58,4.874,107.369,0.041,1.236,1731.825,1839.194,South America
2014,Argentina,ARG,13.891,15.892,857.357,461.55,87.82,14.334,379.916,4.733,108.166,0.043,1.678,1729.049,1837.215,South America
2015,Argentina,ARG,15.131,15.814,870.15,466.526,87.084,18.19,387.81,4.748,108.6,0.04,1.598,1758.49,1867.09,South America
2016,Argentina,ARG,16.037,12.189,870.194,482.1,79.649,21.283,375.905,3.757,100.947,0.038,1.465,1761.671,1862.618,South America
2017,Argentina,ARG,18.428,12.525,867.003,483.0,84.082,15.547,371.477,4.666,108.847,0.044,1.628,1749.552,1858.399,South America
2018,Argentina,ARG,17.594,13.709,855.356,487.021,85.401,17.447,354.626,4.524,111.543,0.286,3.738,1728.159,1839.702,South America
2019,Argentina,ARG,17.97,8.124,795.546,465.589,72.501,21.354,321.832,4.711,110.459,2.108,13.169,1612.445,1722.904,South America
2020,Argentina,ARG,9.646,10.015,737.523,439.312,62.163,25.229,288.195,7.021,107.077,3.531,24.715,1500.274,1607.351,South America
2021,Argentina,ARG,10.42,14.052,831.493,459.341,51.412,25.536,358.1,7.194,108.643,5.764,33.853,1688.522,1797.165,South America
2022,Argentina,ARG,13.931,14.399,854.012,456.83,62.283,18.687,382.783,7.473,128.275,7.659,36.929,1726.711,1854.986,South America
1965,Australia,AUS,0.0,202.028,402.077,0.029,22.739,0.0,200.019,0.945,23.683,0.0,0.0,804.153,827.836,Australia
1966,Australia,AUS,0.0,209.389,423.476,0.039,21.719,0.0,214.048,0.907,22.626,0.0,0.0,846.952,869.578,Australia
1967,Australia,AUS,0.0,215.25,449.677,0.039,22.49,0.0,234.388,0.926,23.416,0.0,0.0,899.354,922.77,Australia
1968,Australia,AUS,0.0,221.694,477.284,0.305,23.51,0.0,255.285,0.9,24.41,0.0,0.0,954.568,978.978,Australia
1969,Australia,AUS,0.0,229.278,495.852,4.126,25.679,0.0,262.448,0.897,26.576,0.0,0.0,991.704,1018.28,Australia
1970,Australia,AUS,0.0,231.694,539.194,17.304,30.075,0.0,290.195,0.833,30.908,0.0,0.0,1078.387,1109.295,Australia
1971,Australia,AUS,0.0,232.569,563.941,25.827,34.027,0.0,305.545,0.84,34.867,0.0,0.0,1127.882,1162.749,Australia
1972,Australia,AUS,0.0,242.931,591.038,37.074,34.163,0.0,311.033,0.894,35.057,0.0,0.0,1182.076,1217.133,Australia
1973,Australia,AUS,0.0,252.986,631.948,47.069,36.329,0.0,331.893,1.079,37.408,0.0,0.0,1263.896,1301.304,Australia
1974,Australia,AUS,0.0,264.069,669.507,53.702,41.025,0.0,351.735,1.369,42.394,0.0,0.0,1339.013,1381.407,Australia
1975,Australia,AUS,0.0,272.542,678.316,57.67,44.023,0.0,348.104,1.561,45.584,0.0,0.0,1356.632,1402.216,Australia
1976,Australia,AUS,0.0,281.792,705.69,68.077,41.853,0.0,355.821,1.545,43.398,0.0,0.0,1411.38,1454.778,Australia
1977,Australia,AUS,0.0,294.181,744.55,77.768,40.049,0.0,372.601,1.369,41.419,0.0,0.0,1489.1,1530.519,Australia
1978,Australia,AUS,0.0,301.861,766.533,83.725,43.395,0.0,380.947,1.293,44.688,0.0,0.0,1533.066,1577.754,Australia
1979,Australia,AUS,0.0,315.542,797.832,96.375,42.125,0.0,385.915,1.334,43.46,0.0,0.0,1595.664,1639.124,Australia
1980,Australia,AUS,0.0,324.764,803.197,110.666,39.821,0.0,367.768,1.229,41.05,0.0,0.0,1606.395,1647.445,Australia
1981,Australia,AUS,0.0,333.139,815.502,119.944,41.003,0.0,362.418,1.29,42.292,0.0,0.0,1631.003,1673.295,Australia
1982,Australia,AUS,0.0,336.681,810.51,116.981,37.762,0.0,356.849,1.647,39.409,0.0,0.0,1621.021,1660.43,Australia
1983,Australia,AUS,0.0,336.556,783.714,127.075,35.849,0.0,320.083,1.376,37.225,0.0,0.0,1567.428,1604.653,Australia
1984,Australia,AUS,0.0,355.903,812.199,125.317,38.813,0.0,330.979,1.408,40.221,0.0,0.0,1624.398,1664.619,Australia
1985,Australia,AUS,0.0,368.139,834.892,133.953,41.222,0.0,332.801,1.456,42.678,0.0,0.0,1669.785,1712.463,Australia
1986,Australia,AUS,0.0,377.486,851.962,146.329,41.474,0.0,328.147,1.468,42.943,0.0,0.0,1703.924,1746.867,Australia
1987,Australia,AUS,0.0,393.361,879.426,149.395,40.256,0.0,336.67,1.5,41.756,0.0,0.0,1758.852,1800.608,Australia
1988,Australia,AUS,0.0,413.764,918.73,152.993,42.387,0.0,351.973,2.334,44.72,0.0,0.0,1837.46,1882.18,Australia
1989,Australia,AUS,0.0,433.958,967.35,166.876,42.148,0.0,366.516,2.586,44.734,0.0,0.0,1934.7,1979.434,Australia
1990,Australia,AUS,0.0,444.347,986.991,167.759,43.644,0.0,374.885,2.424,46.068,0.0,0.0,1973.982,2020.05,Australia
1991,Australia,AUS,0.0,453.264,976.706,160.821,46.287,0.0,362.621,2.297,48.6,0.016,0.0,1953.412,2002.012,Australia
1992,Australia,AUS,0.0,455.958,992.875,166.37,47.139,0.0,370.547,2.139,49.313,0.036,0.0,1985.75,2035.063,Australia
1993,Australia,AUS,0.0,458.889,1013.434,172.493,48.456,0.0,382.052,2.139,50.644,0.043,0.006,2026.868,2077.512,Australia
1994,Australia,AUS,0.0,468.264,1055.42,191.567,47.755,0.0,395.589,2.223,50.046,0.051,0.016,2110.84,2160.886,Australia
1995,Australia,AUS,0.0,484.167,1105.36,193.416,46.221,0.0,427.777,2.635,48.939,0.063,0.021,2210.72,2259.659,Australia
1996,Australia,AUS,0.0,503.958,1137.8,194.827,47.219,0.0,439.015,3.021,50.336,0.076,0.021,2275.6,2325.936,Australia
1997,Australia,AUS,0.0,529.458,1166.821,191.305,47.171,0.0,446.058,3.183,50.467,0.091,0.022,2333.642,2384.109,Australia
1998,Australia,AUS,0.0,553.083,1196.007,196.953,46.715,0.0,445.97,3.451,50.324,0.105,0.053,2392.013,2442.337,Australia
1999,Australia,AUS,0.0,587.443,1245.338,201.741,48.144,0.0,456.154,3.618,52.01,0.12,0.127,2490.676,2542.686,Australia
2000,Australia,AUS,0.0,591.662,1253.194,205.551,48.691,0.0,455.982,2.839,52.065,0.138,0.396,2506.389,2558.454,Australia
2001,Australia,AUS,0.0,585.691,1264.47,221.693,47.367,0.0,457.085,2.546,50.915,0.159,0.843,2528.939,2579.854,Australia
2002,Australia,AUS,0.0,598.872,1288.995,228.148,46.979,0.0,461.975,4.044,52.75,0.17,1.557,2577.99,2630.74,Australia
2003,Australia,AUS,0.0,616.021,1306.224,229.943,47.013,0.0,460.26,5.4,54.638,0.183,2.042,2612.448,2667.086,Australia
2004,Australia,AUS,0.0,641.921,1347.753,234.536,45.203,0.0,471.296,8.987,56.691,0.21,2.291,2695.506,2752.197,Australia
2005,Australia,AUS,0.234,638.222,1349.514,232.59,44.285,0.0,478.702,12.357,60.836,0.241,3.72,2699.028,2759.864,Australia
2006,Australia,AUS,0.759,655.499,1408.571,259.431,42.525,0.0,493.642,12.553,62.267,0.277,6.152,2817.143,2879.41,Australia
2007,Australia,AUS,0.966,649.802,1446.271,290.198,36.897,0.0,506.27,13.646,59.896,0.322,8.065,2892.541,2952.437,Australia
2008,Australia,AUS,1.279,677.291,1475.357,285.35,33.201,0.0,512.716,11.798,56.389,0.391,9.718,2950.714,3007.103,Australia
2009,Australia,AUS,1.773,654.861,1450.366,291.364,35.306,0.0,504.141,8.896,59.178,0.811,12.393,2900.732,2959.91,Australia
2010,Australia,AUS,2.577,607.394,1443.765,317.064,38.153,0.0,519.307,7.794,65.073,2.714,13.836,2887.53,2952.603,Australia
2011,Australia,AUS,3.068,592.062,1469.942,330.82,53.992,0.0,547.06,8.216,88.66,5.64,17.744,2939.884,3028.544,Australia
2012,Australia,AUS,2.982,554.468,1448.736,332.848,46.712,0.0,561.419,9.889,87.377,6.614,21.181,2897.471,2984.848,Australia
2013,Australia,AUS,2.921,526.242,1454.284,350.005,52.025,0.0,578.037,10.635,101.302,10.486,25.235,2908.568,3009.87,Australia
2014,Australia,AUS,3.003,521.888,1472.994,375.677,39.239,0.0,575.428,11.32,93.464,13.415,26.487,2945.987,3039.451,Australia
2015,Australia,AUS,2.387,540.411,1500.939,389.95,37.935,0.0,570.579,11.741,100.613,16.684,31.866,3001.879,3102.492,Australia
2016,Australia,AUS,1.856,540.062,1491.312,379.527,47.195,0.0,571.723,11.58,115.454,19.917,34.908,2982.624,3098.078,Australia
2017,Australia,AUS,1.834,521.526,1493.95,372.844,35.927,0.0,599.58,11.369,108.02,23.732,35.158,2987.9,3095.92,Australia
2018,Australia,AUS,1.655,508.882,1490.901,371.908,45.801,0.0,610.111,11.454,134.564,32.629,43.025,2981.802,3116.366,Australia
2019,Australia,AUS,1.514,486.392,1531.156,440.57,36.958,0.0,604.194,11.07,149.099,48.23,51.327,3062.312,3211.411,Australia
2020,Australia,AUS,1.203,468.044,1415.129,424.929,37.874,0.0,522.156,10.887,171.953,62.618,59.372,2830.258,3002.211,Australia
2021,Australia,AUS,1.235,452.441,1387.223,399.085,41.717,0.0,535.697,10.675,205.367,81.624,70.116,2774.446,2979.813,Australia
2022,Australia,AUS,1.331,430.763,1421.068,416.264,44.642,0.0,574.04,10.361,240.12,101.264,82.522,2842.135,3082.255,Australia
1965,Austria,AUT,0.0,59.115,141.941,17.529,47.557,0.0,65.297,0.0,47.557,0.0,0.0,283.882,331.439,Europe
1966,Austria,AUT,0.0,56.468,147.077,18.821,51.248,0.0,71.789,0.0,51.248,0.0,0.0,294.155,345.403,Europe
1967,Austria,AUT,0.0,53.451,148.031,18.032,52.333,0.0,76.548,0.0,52.333,0.0,0.0,296.062,348.395,Europe
1968,Austria,AUT,0.0,52.774,160.469,19.229,53.773,0.0,88.466,0.0,53.773,0.0,0.0,320.938,374.711,Europe
1969,Austria,AUT,0.0,51.936,172.492,23.329,49.435,0.0,97.226,0.0,49.435,0.0,0.0,344.983,394.418,Europe
1970,Austria,AUT,0.0,55.854,191.196,28.298,62.953,0.0,107.044,0.0,62.953,0.0,0.0,382.392,445.345,Europe
1971,Austria,AUT,0.0,51.234,203.347,32.507,49.737,0.0,119.607,0.0,49.737,0.0,0.0,406.695,456.432,Europe
1972,Austria,AUT,0.0,46.454,210.707,35.13,51.119,0.0,129.123,0.0,51.119,0.0,0.0,421.414,472.533,Europe
1973,Austria,AUT,0.0,46.17,224.709,38.611,56.801,0.0,139.928,0.0,56.801,0.0,0.0,449.418,506.219,Europe
1974,Austria,AUT,0.0,48.723,215.802,41.852,67.16,0.0,125.228,0.0,67.16,0.0,0.0,431.605,498.765,Europe
1975,Austria,AUT,0.0,42.341,210.701,41.802,70.362,0.0,126.559,0.0,70.362,0.0,0.0,421.403,491.765,Europe
1976,Austria,AUT,0.0,45.06,230.081,47.61,60.812,0.0,137.411,0.0,60.812,0.0,0.0,460.162,520.974,Europe
1977,Austria,AUT,0.0,37.8,217.907,48.52,73.691,0.0,131.587,0.0,73.691,0.0,0.0,435.814,509.505,Europe
1978,Austria,AUT,0.0,38.402,230.44,50.468,73.75,0.0,141.57,0.0,73.75,0.0,0.0,460.88,534.63,Europe
1979,Austria,AUT,0.0,41.686,239.135,50.04,83.082,0.0,147.409,0.0,83.082,0.0,0.0,478.27,561.352,Europe
1980,Austria,AUT,0.0,42.835,234.796,48.074,86.078,0.0,143.887,0.0,86.078,0.0,0.0,469.592,555.67,Europe
1981,Austria,AUT,0.0,43.85,220.305,45.824,91.215,0.0,130.631,0.0,91.215,0.0,0.0,440.61,531.825,Europe
1982,Austria,AUT,0.0,41.706,209.962,44.355,91.36,0.0,123.901,0.0,91.36,0.0,0.0,419.924,511.284,Europe
1983,Austria,AUT,0.0,44.656,209.993,45.257,90.502,0.0,120.08,0.0,90.502,0.0,0.0,419.986,510.488,Europe
1984,Austria,AUT,0.0,50.886,218.075,50.39,79.394,0.0,116.798,0.0,79.394,0.0,0.0,436.149,515.543,Europe
1985,Austria,AUT,0.0,50.815,221.793,53.992,91.002,0.0,116.986,3.011,94.013,0.0,0.0,443.586,537.599,Europe
1986,Austria,AUT,0.0,45.303,220.942,52.421,91.383,0.0,123.218,4.11,95.493,0.0,0.0,441.884,537.377,Europe
1987,Austria,AUT,0.0,44.939,226.486,54.686,104.642,0.0,126.86,2.892,107.533,0.0,0.0,452.971,560.504,Europe
1988,Austria,AUT,0.0,43.033,221.396,52.385,104.394,0.0,125.978,3.342,107.736,0.0,0.0,442.792,550.528,Europe
1989,Austria,AUT,0.0,43.227,223.709,56.26,103.738,0.0,124.222,3.526,107.264,0.0,0.0,447.418,554.682,Europe
1990,Austria,AUT,0.074,47.64,238.275,61.935,93.172,0.0,128.7,3.647,96.893,0.0,0.0,476.55,573.443,Europe
1991,Austria,AUT,0.082,49.972,254.541,65.664,92.978,0.0,138.905,3.913,96.973,0.0,0.0,509.082,606.055,Europe
1992,Austria,AUT,0.091,38.882,238.591,64.482,103.046,0.0,135.227,4.243,107.38,0.0,0.0,477.182,584.562,Europe
1993,Austria,AUT,0.104,34.959,239.135,67.812,108.538,0.0,136.363,4.345,112.99,0.003,0.0,478.269,591.259,Europe
